Category,Commodity,Test Type,Parameter,Units,Test Description,Compliance,Test TAT,Method,Key_Parameter,Min. Value,Max Value,Min FSSAI Acceptable Value,Max FSSAI Acceptable Value,Min FSSAI Acceptable Value - Organic,Max FSSAI Acceptable Value - Organic,Price,Key Parameter (For Organic),,"Category, Commodity, Parameter",,,,Unique Category,Unique Commodity,,
"Herbs, Spices & Condiments",Black Pepper Whole,Microbiology,"Enterobacteriaceae, CFU/g",CFU/g,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,1000000,0,100,0,100,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Enterobacteriaceae, CFU/g",,,,,Turmeric Whole,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Moisture, %",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,50,0,13,0,13,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Moisture, %",,,,,Organic Turmeric Powder,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Adulterants,"Papaya seeds, %",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,0,0,0,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Papaya seeds, %",,,,,Turmeric Powder,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Piperine Content (on dry basis),%",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,2,100,2,100,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Piperine Content (on dry basis),%",,,,,Cardamon Whole,,Create package after correcting parameters in backend
"Herbs, Spices & Condiments",Black Pepper Whole,Microbiology,"Salmonella, Per 25g",Per 25g,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,0,0,0,0,0,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Salmonella, Per 25g",,,,,Cardamom powder,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Microbiology,"Staphylococcus aureus, CFU/g",CFU/g,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,0,0,100,0,100,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Staphylococcus aureus, CFU/g",,,,,Organic Cardamom Whole,,Create package after correcting parameters in backend
"Herbs, Spices & Condiments",Black Pepper Whole,Microbiology,"Sulfite reducing clostridia, CFU/g",CFU/g,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,0,0,100,0,100,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Sulfite reducing clostridia, CFU/g",,,,,Organic Cardamom Powder,,Create package after correcting parameters in backend
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Total ash (on dry basis), %",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,50,0,7,0,7,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Total ash (on dry basis), %",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Ash insoluble in dilute HCl (on dry basis), %",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,50,0,1.5,0,1.5,100,N/A,,"Herbs, Spices & Condiments Black Pepper Whole Ash insoluble in dilute HCl (on dry basis), %",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Volatile oil on dry basis, %",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,1,100,1,100,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Volatile oil on dry basis, %",,,,,,,
