Category,Commodity,Test Type,Parameter,Units,Test Description,Compliance,Test TAT,Method,Key_Parameter,Min. Value,Max Value,Min FSSAI Acceptable Value,Max FSSAI Acceptable Value,Min FSSAI Acceptable Value - Organic,Max FSSAI Acceptable Value - Organic,Price,Key Parameter (For Organic),,"Category, Commodity, Parameter",,,,Unique Category,Unique Commodity,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fenobucarb (BPMC),mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fenobucarb (BPMC)",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fenoxaprop-p-ethyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fenoxaprop-p-ethyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fenvalerate (Fat soluble residue),mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fenvalerate (Fat soluble residue)",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Flonicamid,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Flonicamid",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fluazifop-p-butyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fluazifop-p-butyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fluchloralin,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fluchloralin",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Flufenacet,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Flufenacet",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fluvalinate,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fluvalinate",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Forchlorfenuron,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Forchlorfenuron",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,"Fosetyl-Al, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fosetyl-Al, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Glufosinate Ammonium,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Glufosinate Ammonium",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Glyphosate,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Glyphosate",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Halosulfuron methyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Halosulfuron methyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Hexazinone,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Hexazinone",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Hydrogen Cyanamide,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Hydrogen Cyanamide",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Iodosulfuron Methyl Sodium,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Iodosulfuron Methyl Sodium",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Imazethapyr,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Imazethapyr",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Iprobenfos (Kitazin),mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Iprobenfos (Kitazin)",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Iprodione,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Iprodione",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Isoprothiolane,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Isoprothiolane",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Isoproturon,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Isoproturon",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Kasugamycin,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Kasugamycin",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Linuron,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Linuron",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Malathion (Malathion to be determined and expressed as combined residues of malathion and malaoxon),mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Malathion (Malathion to be determined and expressed as combined residues of malathion and malaoxon)",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Mandipropamid,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Mandipropamid",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Mepiquat Chloride,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Mepiquat Chloride",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Mesosulfuron Methyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Mesosulfuron Methyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Metaflumizone,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Metaflumizone",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Metalaxyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Metalaxyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Methabenzthiazuron,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Methabenzthiazuron",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Methyl Chlorophenoxy Acetic Acid (MCPA),mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Methyl Chlorophenoxy Acetic Acid (MCPA)",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Banned Pesticide Residue,Methyl Parathion (combined residues of methyl parathion and its oxygen analogue to be determined and expressed as methyl parathion),mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Methyl Parathion (combined residues of methyl parathion and its oxygen analogue to be determined and expressed as methyl parathion)",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Metolachlor,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Metolachlor",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Metribuzin,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Metribuzin",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Metsulfuron Methyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Metsulfuron Methyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Orthosulfamuron,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Orthosulfamuron",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,"Oxadiargyl, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Oxadiargyl, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Oxadiazon,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Oxadiazon",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Oxyfluorfen,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Oxyfluorfen",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Paclobutrazol,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Paclobutrazol",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Paraquat dichloride (Determined as Paraquatcations),mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Paraquat dichloride (Determined as Paraquatcations)",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Penconazole,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Penconazole",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Pencycuron,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Pencycuron",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Penoxuslum,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Penoxuslum",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Permethrin,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Permethrin",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Phenthoate,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Phenthoate",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,"Phorate (sum of Phorate, its oxygen analogue and their sulphoxides and sulphones, expressed as phorate)",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Phorate (sum of Phorate, its oxygen analogue and their sulphoxides and sulphones, expressed as phorate)",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Phosalone,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Phosalone",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Pinoxaden,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Pinoxaden",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Pretilachlor,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Pretilachlor",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Pirimiphos-methyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Pirimiphos-methyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Profenofos,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Profenofos",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Prohexadione calcium,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Prohexadione calcium",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Propaquizafop,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Propaquizafop",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Propiconazole,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Propiconazole",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Pyrazosulfuron ethyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Pyrazosulfuron ethyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Pyrithiolac Sodium,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Pyrithiolac Sodium",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Pymetrozine,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Pymetrozine",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Quizalofop ethyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Quizalofop ethyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Quizalofop-P-tefuryl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Quizalofop-P-tefuryl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Sodium Aceflourofen,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Sodium Aceflourofen",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Sulfosulfuron,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Sulfosulfuron",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Thifluzamide,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Thifluzamide",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Thiometon(Residues determined as thiometon its sulfoxide and sulphone expressed as thiometon),mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Thiometon(Residues determined as thiometon its sulfoxide and sulphone expressed as thiometon)",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Thiophanate-Methyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Thiophanate-Methyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Tolfenpyrad,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Tolfenpyrad",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Trichlorfon,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Trichlorfon",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Triacontanol,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Triacontanol",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Triallate,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Triallate",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Triasulfuron,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Triasulfuron",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Tridemorph,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Tridemorph",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Trifluralin,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Trifluralin",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Validamycin,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Validamycin",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fluopicolide,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fluopicolide",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Tembotrione,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Tembotrione",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Propanil,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Propanil",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fluopyram and its metabolites,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fluopyram and its metabolites",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Topramezone,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Topramezone",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Thiocyclam Hydrogen Oxalate,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Thiocyclam Hydrogen Oxalate",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,"2,4-D Amine Salt",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole 2,4-D Amine Salt",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Ametyrn,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Ametyrn",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fomesafen,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fomesafen",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Imazamox,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Imazamox",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Sodium Para Nitro Phenolate,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Sodium Para Nitro Phenolate",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Bentazone,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Bentazone",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Cyflumetofen,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Cyflumetofen",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Boscalid,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Boscalid",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Flucetosulfuron,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Flucetosulfuron",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Haloxyfop-R Methyl,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Haloxyfop-R Methyl",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Sulfentrazone and its metabolite Desmethylsulfentrazone and 3- Hydroxymethylsulfentrazone,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Sulfentrazone and its metabolite Desmethylsulfentrazone and 3- Hydroxymethylsulfentrazone",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Metrafenone,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Metrafenone",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Fluxapyroxad,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Fluxapyroxad",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Tetraconazole,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Tetraconazole",,,,,,,
"Herbs, Spices & Condiments",Cardamon Whole,Pesticide Residue,Flupyradifurone and its metabolites Difluroacetic Acid and Difluroethylamino- furanone,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Cardamon Whole Flupyradifurone and its metabolites Difluroacetic Acid and Difluroethylamino- furanone",,,,,,,
